X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
51,822891	-6,138719	1,557706	51,83812	-6,213823	1,592919	51,687283	-6,705159	1,663112	51,930378	-5,49485	0,869764	51,784966	-15,529484	21,076551
51,824875	-6,144501	1,562391	51,835918	-6,215528	1,59104	51,689075	-6,709417	1,667334	51,875835	-5,558022	1,094629	52,087704	-16,50108	23,560362
51,824581	-6,142972	1,560479	51,83363	-6,223097	1,592299	51,684753	-6,728808	1,673503	51,827641	-5,622571	1,271869	52,352127	-17,113121	25,511494
51,82634	-6,14817	1,565075	51,831367	-6,225009	1,590856	51,687614	-6,735238	1,679879	51,822681	-5,703903	1,3225	52,357868	-17,560371	26,865534
51,826679	-6,146587	1,563939	51,829227	-6,232014	1,592365	51,681828	-6,754655	1,684868	51,822327	-5,763353	1,355443	52,127052	-17,637405	27,881563
51,828362	-6,151741	1,568665	51,826279	-6,234542	1,590842	51,685524	-6,762699	1,693095	51,822304	-5,819804	1,388392	51,827461	-17,573622	28,470779
51,82909	-6,150254	1,56814	51,823338	-6,243401	1,592676	51,679165	-6,786937	1,70019	51,825329	-5,868693	1,420922	51,538258	-17,393293	28,748728
51,83165	-6,157912	1,574982	51,820347	-6,246069	1,591487	51,688282	-6,803987	1,721815	51,825588	-5,915446	1,449821	51,338444	-17,190889	28,85701
51,832691	-6,158938	1,576055	51,817635	-6,254454	1,593543	51,675934	-6,841374	1,731929	51,816978	-5,962872	1,470482	51,213398	-16,980114	28,879864
51,830933	-6,160745	1,575971	51,815044	-6,256976	1,592967	51,685062	-6,85668	1,751289	51,814095	-6,004941	1,493803	51,15337	-16,79215	28,809471
51,832424	-6,166409	1,579861	51,811676	-6,267329	1,595473	51,673336	-6,894009	1,762145	51,812992	-6,054494	1,521838	51,155018	-16,646166	28,727528
51,830555	-6,167854	1,579651	51,808514	-6,270091	1,594561	51,682316	-6,907689	1,780597	51,811554	-6,089619	1,543413	51,184811	-16,517843	28,613844
51,82972	-6,17916	1,585206	51,805668	-6,281855	1,598377	51,66745	-6,943932	1,787511	51,809959	-6,129806	1,566658	51,235779	-16,385698	28,49222
