X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
-47,171642	-5,271559	-0,470182	-47,240341	-5,354481	-0,314615	-47,017754	-6,446784	0,808055	-47,155006	-5,145817	-0,591244	-47,238049	-10,286084	18,154634
-47,175133	-5,271013	-0,465897	-47,241295	-5,362059	-0,305208	-47,032227	-6,449251	0,828503	-47,152843	-5,144992	-0,593895	-47,240189	-10,282725	18,141846
-47,17276	-5,2767	-0,464186	-47,244751	-5,37559	-0,287791	-47,000938	-6,486356	0,840341	-47,154564	-5,148516	-0,589351	-47,226089	-10,27319	18,134094
-47,175613	-5,276106	-0,460656	-47,247631	-5,388552	-0,26689	-47,019417	-6,502589	0,888352	-47,152367	-5,148459	-0,59196	-47,229031	-10,267233	18,121256
-47,17271	-5,284223	-0,45766	-47,251637	-5,406284	-0,241901	-46,99033	-6,529213	0,892116	-47,153858	-5,150075	-0,589135	-47,215931	-10,255193	18,113451
-47,175251	-5,283339	-0,454491	-47,253349	-5,418968	-0,224624	-47,005589	-6,546035	0,935194	-47,151917	-5,149654	-0,591077	-47,218475	-10,246524	18,100588
-47,172611	-5,291564	-0,451208	-47,256622	-5,433554	-0,204276	-46,987549	-6,569914	0,94823	-47,155102	-5,156829	-0,581482	-47,204502	-10,232082	18,093058
-47,174213	-5,29067	-0,44908	-47,258606	-5,444683	-0,188438	-46,995667	-6,592124	0,988375	-47,153347	-5,157483	-0,583012	-47,207504	-10,221802	18,081043
-47,171841	-5,298547	-0,445837	-47,262321	-5,458078	-0,168834	-46,963844	-6,620138	0,988071	-47,154388	-5,157158	-0,582312	-47,194386	-10,206055	18,074068
-47,17297	-5,297711	-0,444209	-47,263905	-5,468161	-0,154767	-46,976143	-6,637379	1,02612	-47,152901	-5,157445	-0,58358	-47,197266	-10,194463	18,062759
-47,170242	-5,307789	-0,439538	-47,267208	-5,480709	-0,136883	-46,949615	-6,665646	1,032371	-47,155357	-5,160174	-0,578438	-47,183525	-10,177581	18,056364
-47,171253	-5,3069	-0,438052	-47,268696	-5,488994	-0,125086	-46,958881	-6,684698	1,068957	-47,15443	-5,162729	-0,577255	-47,186844	-10,165632	18,045994
-47,168758	-5,316687	-0,433404	-47,272236	-5,49956	-0,109028	-46,937012	-6,712089	1,079362	-47,156326	-5,165325	-0,572971	-47,173862	-10,148867	18,041264
-47,169456	-5,315877	-0,43223	-47,272728	-5,506965	-0,099364	-46,951206	-6,730378	1,120696	-47,155853	-5,167914	-0,571229	-47,177498	-10,13708	18,031967
-47,167332	-5,324539	-0,42815	-47,275738	-5,516358	-0,085591	-46,933807	-6,770529	1,161989	-47,157761	-5,170466	-0,566974	-47,164089	-10,120528	18,028034
-47,167995	-5,323777	-0,426998	-47,275917	-5,521346	-0,079234	-46,949051	-6,798325	1,222893	-47,158531	-5,175922	-0,561375	-47,168533	-10,109697	18,019945
-47,165192	-5,334641	-0,421792	-47,278076	-5,531474	-0,065894	-46,920708	-6,836428	1,244148	-47,161022	-5,181638	-0,553755	-47,155918	-10,094219	18,017408
-47,166458	-5,333789	-0,420055	-47,279778	-5,53905	-0,054931	-46,945251	-6,864107	1,316474	-47,161491	-5,186702	-0,548799	-47,160999	-10,084805	18,010551
-47,163578	-5,344025	-0,415432	-47,283092	-5,550252	-0,038743	-46,91304	-6,902153	1,332556	-47,164879	-5,194196	-0,538564	-47,148781	-10,070663	18,009027
-47,165573	-5,343076	-0,412767	-47,283722	-5,554562	-0,032638	-46,943592	-6,93079	1,414004	-47,167175	-5,201555	-0,529608	-47,154522	-10,063055	18,003704
-47,16275	-5,357282	-0,403542	-47,285961	-5,562507	-0,021614	-46,880089	-7,004637	1,491899	-47,170017	-5,209094	-0,520013	-47,14283	-10,050899	18,003977
-47,161694	-5,356758	-0,403295	-47,285042	-5,565055	-0,019554	-46,899128	-7,069418	1,648869	-47,17189	-5,216434	-0,51161	-47,149338	-10,045247	17,999546
-47,161163	-5,391131	-0,372643	-47,288017	-5,574791	-0,00564	-46,873306	-7,138225	1,75492	-47,175488	-5,225867	-0,499476	-47,138908	-10,035192	18,000797
-47,155499	-5,394384	-0,374324	-47,289043	-5,578825	0,000609	-46,876606	-7,196129	1,875382	-47,177971	-5,23422	-0,489534	-47,145844	-10,031599	17,997833
-47,160152	-5,419809	-0,344454	-47,292274	-5,586784	0,013046	-46,856915	-7,256489	1,970515	-47,180794	-5,24244	-0,479433	-47,135532	-10,023489	17,999731
-47,16066	-5,427096	-0,334869	-47,292789	-5,589372	0,017093	-46,862003	-7,306658	2,076086	-47,182693	-5,249559	-0,47126	-47,142776	-10,022094	17,998089
-47,155186	-5,430789	-0,337379	-47,296822	-5,599505	0,033106	-46,844513	-7,362955	2,165026	-47,186867	-5,259739	-0,457878	-47,132809	-10,015985	18,000898
-47,159683	-5,468375	-0,288328	-47,295547	-5,603243	0,036682	-46,848202	-7,411016	2,263838	-47,189686	-5,268502	-0,447304	-47,140827	-10,016468	17,999531
-47,151733	-5,474666	-0,29169	-47,299107	-5,609798	0,04787	-46,835358	-7,480435	2,458402	-47,192837	-5,276721	-0,436933	-47,131283	-10,012208	18,003122
-47,157516	-5,50874	-0,243632	-47,297264	-5,611906	0,048891	-46,815247	-7,496392	2,458635	-47,194649	-5,283375	-0,42914	-47,139526	-10,014358	18,002478
-47,151142	-5,514328	-0,246247	-47,300381	-5,617829	0,058724	-46,782829	-7,521623	2,460681	-47,198448	-5,292822	-0,417035	-47,12991	-10,011631	18,006575
-47,156502	-5,543	-0,205203	-47,299538	-5,621715	0,063087	-46,788998	-7,52786	2,464454	-47,20105	-5,301163	-0,40697	-47,138062	-10,015141	18,00629
